"Timestamp","Open","High","Low","Volume_(BTC)","Volume_(Currency)","Weighted_Price"
"1522734510",0,"0.10269061","0.08950146",0,"17231.767703994523",0.09399098333333332
"1522734540",0,"0.10269061","0.08950146",0,"17231.767703994523",0.09399098333333332
"1522780260",0,"0.10269061","0.08903595",0,"17378.381018871994",0.09548495111111112
"1522866660",0,"0.09832431","0.08439209",0,"19204.758496510352",0.09520469555555557
"1522953060",0,"0.09992332","0.08439209",0,"19221.80569610355",0.09481094555555555
"1523039460",0,"0.09992332","0.08599222",0,"16742.914023545596",0.09206207111111112
"1523125860",0,"0.09738886","0.08434855",0,"18559.404937776995",0.09286263
"1523212260",0,"0.09662921","0.08434855",0,"17277.064428714224",0.09322224666666667
"1523298660",0,"0.10062152","0.08815937",0,"18055.13581392513",0.0939438488888889
"1523385060",0,"0.10062152","0.08575736",0,"13247.863851727947",0.09527048
"1523471460",0,"0.09727253","0.08575736",0,"15802.511559402654",0.0949079677777778
"1523557860",0,"0.09981755","0.08820548",0,"17744.04968130974",0.09254650222222224
"1523644260",0,"0.10021821","0.08820548",0,"19639.695542660163",0.09345455
"1523730660",0,"0.10021821","0.08627611",0,"14801.609150103899",0.09257193375
"1523989860",0,"0.09960742","0.09320785",0,"16357.649011162732",0.09625849666666668
"1524076260",0,"0.11206531","0.09375808",0,"20321.902412864827",0.10883234555555556